id_soal,soal,jawaban,jawaban_benar,materi,jumlah_dikerjakan,jumlah_benar,kategori_soal
pu11,Semua pekerja harus menggunakan topi pengaman. Ada pekerja yang menggunakan sarung tangan.,"(A) ada pekerja tidak menggunakan topi pengaman
(B) semua pekerja tidak menggunakan sarung tangan
(C) ada pekerja yang menggunakan topi pengaman dan sarung tangan
(D) ada pekerja yang tidak menggunakan topi pengaman dan menggunakan sarung tangan
(E) ada pekerja yang tidak menggunakan topi pengaman dan tidak menggunakan sarung tangan",(C) ada pekerja yang menggunakan topi pengaman dan sarung tangan,Logika Preposisi,83,50,sedang
pu12,"Beberapa dodol berasa durian. Semua makanan yang berasa durian banyak disukai. Semua dodol harganya terjangkau. Maka, kesimpulannya adalah, kecuali ...","(A) Beberapa makanan yang harganya terjangkau adalah dodol
(B) Beberapa makanan yang banyak disukai adalah dodol
(C) Beberapa makanan yang banyak disukai harganya terjangkau
(D) Semua dodol adalah makanan yang banyak disukai
(E) Beberapa makanan yang berasa durian harganya terjangkau",(D) Semua dodol adalah makanan yang banyak disukai,Logika Preposisi,494,156,sulit
pu13,"Kwwkwkkk = deh mulu
Wkkwwkwk= Jangan tau
Kwwkwkkw = Ketawa mulu
Apa arti jangan ketawa?","(A) Wkwkwkwk
(B) Wkkwwkwk
(C) Kwwkwkwk
(D) Kwwkwkwk
(E) Tidak ada jawaban yang tepat",(B) Wkkwwkwk,Pola Barisan,413,163,sulit
pu14,"Harga sewa di enam blok perumahan berbeda. Rumah di Blok B lebih mahal daripada di Blok A, tetapi lebih murah daripada di Blok E. Rumah di Blok F lebih murah daripada di Blok A dan di Blok C. Rumah di Blok D lebih mahal daripada di Blok F, tetapi lebih murah daripada di Blok C. Harga rumah di Blok C lebih murah daripada di Blok A.
Rumah yang harga sewanya termurah kedua adalah rumah di blok ....","(A) A
(B) B
(C) C
(D) D
(E) E",(D) D,Logika Analitik,92,60,sedang
pu15,"Setelah tahun 2018 berakhir dengan banyak membawa perubahan dalam dunia teknologi dan digital, tahun 2019 dimulai dengan banyak perkembangan baru. Hasil data digital Indonesia 2019 menunjukkan adanya perubahan signifikan di awal tahun 2019 ini, jika dibandingkan dengan tahun 2018. Dengan total populasi masyarakat Indonesia pada Januari 2019 diketahui sebanyak 268,2 juta jiwa. Akan tetapi, angka pengguna layanan operator ponsel diketahui ada sebanyak 355,5 juta pengguna. Hal ini membuat presentase pengguna ponsel lebih besar 133% dari jumlah asli masyarakat Indonesia. Dapat disimpulkan bahwa sebagian masyarakat Indonesia memiliki lebih dari satu buah ponsel. Bahkan pada awal tahun 2019, jumlah pengguna aktif internet di Indonesia diketahui sebanyak 150 juta jiwa atau sekitar 56% dari total jumlah penduduk Indonesia. Dan sekitar 142,8 juta pengguna internet diketahui merupakan pengguna internet ponsel aktif. Hal ini mengakibatkan teknologi komunikasi berkembang lebih pesat dari sebelumnya.

Berdasarkan paragraf 1, manakah simpulan di bawah ini yang Benar?","(A) Sebagian pengguna layanan operator adalah kalangan menengah keatas.
(B) Semua pengguna internet tidak gagap teknologi
(C) Sebagian masyarakat pengguna layanan operator dan internet cenderung meningkat
(D) Sebagian masyarakat pengguna layanan internet aktif memiliki lebih dari satu ponsel
(E) Sebagian pengguna internet yang gagap teknologi tidak memiliki telepon canggih",(D) Sebagian masyarakat pengguna layanan internet aktif memiliki lebih dari satu ponsel,Analisis Argumen,510,7,sulit
pu16,Ketika hujan semua kegiatan olahraga diadakan di Gedung serbaguna sekolah Emi berlatih pencak silat di Gedung serbaguna sekolah. Kesimpulan:,"(A) Emi berlatih pencak silat di Ketika Gedung serbaguna tidak dipakai
(B) Gedung serbaguna sekolah hanya digunakan untuk kegiatan olahraga pencak silat
(C) Ketika hujan, Emi berlatih pencak silat
(D) Ketika tidak hujan, Emi berlatih pencak silat
(E) Ketika tidak hujan, Gedung serbaguna digunakan oleh Emi","(C) Ketika hujan, Emi berlatih pencak silat",Logika Preposisi,763,501,sedang
pu17,2 3 5 5 8 5 13 21 ... ...,"(A) 34 dan 55
(B) 34 dan 5
(C) 5 dan 55
(D) 5 dan 34
(E) 55 dan 34",(D) 5 dan 34,Pola Barisan,140,5,sulit
pu18,X 23 8 42 27 61 Y,"(A) -11 dan 80
(B) -11 dan 46
(C) 38 dan 76
(D) 15 dan 80
(E) 15 dan 95",(B) -11 dan 46,Pola Barisan,948,450,sedang
pu19,"Dalam acara reuni kampus Psikologi diadakan ramah tanah. Acara sambutan ketua panitia dilaksanakan sebelum doa. Pertunjukan band mengalokasikan waktu paling banyak. Ketua panitia harus meninggalkan acara sebelum band dimulai. Sedangkan acara penghargaan guru besar diselenggarakan sebelum band selesai agar undangan tidak meninggalkan ruangan. Doa dibacakan setelah ramah tamah.
Susunan acara reuni kampus Psikologi berdasarkan uraian di atas adalah","(A) Penghargaan-band-doa-sambutan-ramah tamah 
(B) Sambutan- penghargaan-band-ramah tamah-doa
(C) Sambuatan-doa-penghargaan-band-ramah tamah
(D) Penghargaan-sambutan-band-doa-ramah tamah
(E) Tidak ada pilihan jawaban yang benar",(B) Sambutan- penghargaan-band-ramah tamah-doa,Logika Analitik,917,272,sulit
pu20,Jika nasi goreng = jwoe cknajc. Maka Bubur Ayam =,"(A) Yoyon wuwi
(B) Wuwi yoyon
(C) Xoxon wuwi
(D) Wuwi xoxon
(E) Yoyon xoxo",(C) Xoxon wuwi,Pola Barisan,815,685,mudah
pu21,"Sebuah perusahaan konveksi memerlukan 130 m kain untuk membuat 40 potong baju. Apabila tersedia 312 m kain, maka dapat dibuat baju sebanyak ... potong","(A) 92
(B) 94
(C) 96
(D) 98
(E) 100",(C) 96,Aritmatika,963,470,sedang
pu22,"Sebuah wadah berbentuk silinder dan berisi air 1/5 nya. Jika ditambah dengan 6 liter air, temyata wadah tersebut terisi 1/2 nya. Berapa liter kapasitas wadah tersebut ?","(A) 24 
(B) 15
(C) 22
(D) 18
(E) 20",(E) 20,Aritmatika,893,186,sulit
pu23,"R, S, T, U, V adalah lima siswa yang telah menempuh Ujian Nasional. Berikut ini adalah hasil ujian kelima siswa.
1) Nilai R lebih tinggi dari nilai S.
2) Nilai T tertinggi.
3) Nilai U lebih tinggi dari nilai R.
4) Nilai V lebih rendah dari nilai R, tetapi lebih tinggi dari nilai S.
Dari pernyataan-pernyataan di atas, urutan dari nilai yang terendah ialah ....","(A) R,S,U,V,T
(B) S,R,U,V,T
(C) S,V,U,R,T
(D) S,V,R,U,T
(E) V,R,U,S,T","(D) S,V,R,U,T",Logika Analitik,360,297,mudah
pu24,"Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar. 

Berdasarkan paragraf 1, manakah di bawah ini pernyataan yang BENAR?","(A) Industri tekstil dan garmen menyerap 250 juta tenaga kerja.
(B) Industri tekstil termasuk tiga besar sektor manufaktur Indonesia.
(C) Industri tekstil berhasil mengekspor produk senilai USS11,8 miliar.
(D) Industri tekstil merupakan kebutuhan pokok seluruh rakyat Indonesia.
(E) Industri tekstil tanah air dipantau oleh Asosiasi Pertekstilan Indonesia (API).",(B) Industri tekstil termasuk tiga besar sektor manufaktur Indonesia.,Analisis Argumen,543,348,sedang
pu25,"Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar. 

Berdasarkan paragraf 1, jika penduduk Indonesia berjumlah 250 juta jiwa, manakah dibawah ini simpulan yang BENAR?","(A) Setiap penduduk dapat memproduksi garmen.
(B) Setiap penduduk membutuhkan produk pakaian jadi.
(C) Setiap penduduk dapat memulai usaha di sektor manufaktur.
(D) Setiap penduduk harus bekerja di industri tekstil dan garmen.
(E) Setiap penduduk dapat menjadi anggota Asosiasi Pertekstilan Indonesia (API).",(B) Setiap penduduk membutuhkan produk pakaian jadi.,Analisis Argumen,863,498,sedang
pu26,Sebuah bilangan terdiri dari empat buah angka yang berbeda. Jumlah keempat angka adalah 12. Angka pertama ditambah angka ketiga sama dengan angka keempat dikurangi angka kedua. Angka kedua sama dengan selisih angka pertama dan ketiga. Angka keempat dibagi angka ketiga sama dengan angka pertama dibagi angka kedua. Bilangan tersebut adalah...,"(A) 1236
(B) 1326
(C) 1632
(D) 2136
(E) 2316",(D) 2136,Aritmatika,197,63,sulit
pu27,"Sekolah Populer memiliki sebuah asrama
berisi sejumlah kamar. Jika setiap kamar diisi
dua orang siswa, akan ada dua belas siswa
yang tidak memperoleh kamar. Jika setiap
kamar diisi oleh tiga orang siswa akan ada dua
kamar yang kosong. Berapa banyak kamar
yang tersedia di asrama Sekolah Populer?","(A) 16
(B) 18
(C) 20
(D) 22
(E) 24",(B) 18,Aritmatika,109,72,sedang
pu28,"21, 30, 22, 22, 28, 24, 23, 26, 26, 24, ..., ...","(A) 26, 24
(B) 24, 26
(C) 24, 28
(D) 26, 28
(E) 28, 30","(C) 24, 28",Pola Barisan,675,659,mudah
pu29,"1, 3, 4, 7, 11, 18, ...","(A) 25
(B) 26
(C) 27
(D) 28
(E) 29",(E) 29,Pola Barisan,321,320,mudah
pu30,"Sepuluh anak membentuk kelompok bermain yang masing-masing terdiri lima anak. Rata-rata usia kelompok pertama adalah 6 tahun, dan kelompok kedua adalah 6,4 tahun. Jika satu anak dari masing-masing kelompok ditukarkan, maka rata-rata usia kedua kelompok sama. Berapa tahun selisih usia kedua anak yang di pertukarkan?","(A) 2
(B) 1
(C) 0,5
(D) 0,4
(E) 0,1",(B) 1,Logika Analitik,211,196,mudah
pu31,"Penularan virus corona terus terjadi di tengah masyarakat. Jumlah penambahan kasus Covid-19 di Indonesia pun terus bergerak secara fluktuatif. Berdasarkan data yang dihimpun hingga Sabtu (16/5/2020) pukul 12.00 WIB, ada 529 kasus baru Covid-19 dalam 24 jam terakhir. Penambahan tersebut menjadikan total 17.025 kasus Covid-19 di seluruh Indonesia. Hal ini diungkapkan juru bicara pemerintah untuk penanganan virus corona, Achmad Yurianto, dalam konferensi pers dari Graha Badan Nasional Penanggulangan Bencana (BNPB). ""Hasil positif yang kita dapatkan adalah 17.025 orang,"" ujar Achmad Yurianto, Sabtu (16/5). Bagaimanapun, Yuri mengungkapkan harapan dengan semakin banyaknya pasien yang sembuh setelah dinyatakan positif virus corona. Hari ini, tercatat ada penambahan 108 pasien Covid-19 menjalani dua kali pemeriksaan dengan metode polymerase chain reaction (PCR) menunjukkan hasil negatif virus corona.

Berdasarkan paragraf diatas, manakah di bawah ini pernyataan yang MUNGKIN BENAR?","(A) Masyarakat Indonesia berharap semakin banyaknya pasien yang sembuh
(B) Achmad Yurianto selaku jubir pemerintah menyampaikan perkembangan virus corona di Indonesia
(C) Terjadi penambahan kasus positif sebanyak 17.025 kasus per tanggal 16 Mei 2020
(D) Metode polymerase chain reaction (PCR) digunakan oleh banyak negara
(E) Jumlah kasus corona selama bulan Mei mengalami penurunan",(B) Achmad Yurianto selaku jubir pemerintah menyampaikan perkembangan virus corona di Indonesia,Analisis Argumen,251,88,sulit
pu32,"Berapakah angka yang tepat?
17 (102) 12
14 (...) 11","(A) 44
(B) 62
(C) 77
(D) 83
(E) 92",(C) 77,Aritmatika,145,11,sulit
pu33,Pak Nyoman memperoleh r rupiah setiap minggu dan membelanjakan b rupiah seminggu. Dalam berapa minggu ia akan memiliki uang Q rupiah?,"(A) r – b
(B) D – Q
(C) 2Q – D
(D) Q/(r – b)
(E) 1/s(d – Q)",(D) Q/(r – b),Aritmatika,101,77,mudah
pu34,"Umur rata-rata hitung dari suatu kelompok yang terdiri dari guru dan dosen adalah 40 tahun. Jika umur rata-rata para guru adalah 35 tahun dan umur rata-rata para dosen adalah 50 tahun, maka perbandingan banyaknya guru dan banyaknya dosen adalah...","(A) 1 : 2
(B) 2 : 1
(C) 2 : 3
(D) 3 : 2
(E) 3 : 1",(A) 1 : 2,Logika Analitik,242,45,sulit
pu35,"0, 10, 28, 54, 88, 130, ...","(A) 150
(B) 164
(C) 172
(D) 180
(E) 196",(D) 180,Pola Barisan,315,257,mudah
pu36,Kesebelasan Persija menang atas Persebaya dengan skor 3-0. Kesebelasan Persib kalah atas Semen Padang dengan skor 1-2. Kesebelasan Semen Padang menang atas Persija dengan skor 2-0. Kesebelasan mana yang menjuarai kompetisi tersebut?,"(A) Persija dan Semen Padang seri
(B) Persija
(C) Persib
(D) Semen Padang
(E) Persebaya",(D) Semen Padang,Logika Analitik,211,158,mudah
pu37,"Mobil A, B, dan C memiliki tangki bensin berkapasitas sama dan terisi penuh. Ketiga mobil tersebut menempuh perjalanan dengan tujuan yang berbeda-beda. Jarak yang ditempuh mobil A lebih jauh dari mobil C, tetapi tidak melebihi jarak tempuh mobil B. Setelah ketiga mobil tersebut tiba di tujuan sisa bensin ditangki mobil C lebih banyak daripada mobil A tetapi tidak melebihi mobil B. Manakah pernyataan yang benar?","(A) Mobil A paling irit bensin
(B) Mobil B paling irit bensin
(C) Mobil A lebih irit dari mobil B
(D) Mobil A lebih irit dari mobil C
(E) Mobil C lebih irit dari mobil B",(B) Mobil B paling irit bensin,Logika Analitik,913,671,mudah
pu38,"Lima orang pedagang asongan menghitung hasil penjualan dalam satu hari. Pedagang III lebih banyak menjual dari pedagang IV, tetapi tidak melebihi pedagang I. Penjualan pedagang II sama dengan pedagang IV dan melebihi pedagang V. Pedagang mana yang hasil penjualannya terbanyak ?","(A) I
(B) II
(C) III
(D) IV
(E) V",(A) I,Logika Analitik,584,80,sulit
pu39,"Beberapa negara di Timur Tengah termasuk Turki, Irak, dan Yordania, memberlakukan jam malam sepanjang liburan Idulfitri. Meski sebagian negara melakukan pelonggaran, namun kekhawatiran akan pandemi dan kejatuhan ekonomi tetap menghadang. Saudi Arabia, misalnya, tempat kota suci Mekah dan Madinah berada, dikunci sepenuhnya. Warga hanya diizinkan meninggalkan rumah mereka untuk membeli makanan dan obat-obatan. Iran, yang terus memerangi wabah paling mematikan itu di Timur Tengah, mengizinkan salat bersama di beberapa masjid tetapi membatalkan salat Idulfitri tahunan di Teheran yang dipimpin oleh Pemimpin Tertinggi, Ayatollah Ali Khamenei. Iran sendiri telah melaporkan lebih dari 130.000 kasus dan lebih dari 7.000 kematian.

Berdasarkan paragraf diatas, jika Saudi Arabia memberikan kelonggaran kepada warganya, manakah di bawah ini pernyataan yang MUNGKIN BENAR?","(A) Warga Saudi Arabia tetap berada di
rumah
(B) Warga Saudi Arabia akan shalat idulfitri
berjamaah di Masjid
(C) Warga Saudi Arabia keluar rumah hanya
untuk membeli obat-obatan
(D) Warga Saudi Arabia dilarang keluar
rumah
(E) Kota suci Mekah dan Madinah dipenuhi
oleh banyak orang di berbagai negara",(B) Warga Saudi Arabia akan shalat idulfitri berjamaah di Masjid,Analisis Argumen,122,92,mudah
pu40,"Sekitar 2.000 umat muslim berkumpul untuk salat Idul Fitri pada sebuah kompleks olahraga di pinggiran Paris Levallois-Perret. Mereka mengambil jarak satu sama lain dan mengenakan masker. Menurut radio France-Info, mereka tidak melakukan tradisi berpelukan satu sama lainnya. Prancis mengizinkan layanan keagamaan untuk pertama kalinya sejak Maret, tetapi organisasi Muslim terkemuka Prancis, CFCM, menyarankan masjid-masjid tetap tutup pada hari Minggu (24/5/2020). Sedangkan di di negara Balkan, pembatasan untuk menghindari virus corona baru tetap diberlakukan seperti di Albania, Bosnia-Herzegovina dan Kosovo. Masjid-masjid telah dibuka kembali di Ibu Kota Bosnia, Sarajevo, tetapi para jamaah harus mengenakan masker dan mempraktikkan jarak sosial. Sedangkan orang-orang yang lebih tua disarankan salat di rumah.

Berdasarkan paragraf diatas, manakah di bawah ini pernyataan yang BENAR?","(A) Umat muslim di Perancis melakukan shalat idulfitri di rumah
(B) Ratusan umat muslim di Perancis melaksanakan shalat idulfitri di kompleks olahraga Paris Levallois-Perret
(C) Sejak Maret Perancis mengizinkan layanan keagamaan untuk pertama kalinya
(D) Di Negara Balkan hanya Albania yang melakukan pembatasan untuk menghindari virus corona
(E) Masjid di Bosnia memperbolehkan semua kalangan usia untuk shalat idulfitri berjamaah",(C) Sejak Maret Perancis mengizinkan layanan keagamaan untuk pertama kalinya,Analisis Argumen,517,284,sedang
pu41,"Anto menyukai pelajaran bahasa lnggris. Ia ingin melanjutkan sekolah di Australia. Brian, teman sekelas Anto, menyukai pelajaran bahasa lnggris. Kesimpulan mana yang benar...","(A) Anto dan Brian belajar bahasa lnggris bersama.
(B) Anto dan Brian ingin melanjutkan sekolah di Australia.
(C) Anto dan Brian menyukai sekolah di Australia.
(D) Anto dan Brian belajar bahasa lnggris di Australia.
(E) Anto dan Brian menyukai pelajaran bahasa Inggris",(E) Anto dan Brian menyukai pelajaran bahasa Inggris,Logika Preposisi,278,249,mudah
pu42,"Sesuai dengan kesepakatan direktur dengan karyawan perusahaan “X”, karyawan mengundurkan diri dengan diberi pesangon atau perusahaan ditutup. Ternyata perusahaan ditutup. Kesimpulan mana yang benar...","(A) Perusahaan tidak memberi pesangon kepada karyawan.
(B) Karyawan memilih perusahaan ditutup.
(C) Sebagian karyawan diberi pesangon.
(D) Direktur memberhentikan sebagian karyawan.
(E) Sebagian karyawan tidak mau mengundurkan diri.",(A) Perusahaan tidak memberi pesangon kepada karyawan.,Logika Preposisi,218,122,sedang
pu43,"Jika A + B + C = 6, maka H + K + L =?","(A) 10
(B) 17
(C) 24
(D) 31
(E) 35",(D) 31,Pola Barisan,660,472,mudah
pu44,"Nilai yang diperoleh dari seorang siswa adalah sebagai berikut.
Bahasa Indonesia : 86
Bahasa Inggris : 79
Matematika : 78
Ekonomi : 88
Sejarah : 86
Berapa nilai mata pelajaran Sosiologi yang harus dicapai oleh siswa tersebut jika ia memiliki target nilai rata-rata sebesar 86?","(A) 100
(B) 99
(C) 98
(D) 97
(E) 96",(B) 99,Aritmatika,564,351,sedang
pu45,"Seorang gadis mencatat waktu yang digunakan untuk berlatih biola. Untuk suatu minggu pada hari Senin ia berlatih selama 1 1⁄4 jam, Selasa 2 jam, Rabu 2 jam, Kamis 1 3⁄4 jam. berapa jamkah yang akan ia gunakan untuk berlatih untuk sisa hari (dalam seminggu) agar rata-rata waktu berlatih per hari adalah 90 menit?","(A) 1 1⁄2
(B) 2
(C) 2 1⁄2
(D) 3
(E) 3 1⁄2",(E) 3 1⁄2,Aritmatika,334,264,mudah
pu46,"31, 30, 29, 19, 18, 17, 16, ...","(A) 9
(B) 8
(C) 7
(D) 6
(E) 5",(D) 6,Pola Barisan,309,6,sulit
pu47,"7, 3, 14, 6, 21, 9,...","(A) 30
(B) 28
(C) 27
(D) 25
(E) 24",(B) 28,Pola Barisan,213,164,mudah
pu48,"Jika p adalah bilangan habis dibagi 7 dan nilainya lebih besar dari 14 dan kurang dari 28, sedangkan q adalah bilangan ganjil di antara 23 dan 27, maka pernyataan yang paling tepat adalah ...","(A) p = q
(B) p > q
(C) p < q
(D) 2p < q
(E) 2q < p",(C) p < q,Aritmatika,270,105,sulit
pu49,"Awan kelam tampaknya semakin menyelimuti industri peternakan unggas, terutama bagi para peternak mandiri. Pasalnya, sebulan sebelumnya, peternak ayam mandiri ini sempat protes ke pemerintah lantaran harga ayam di tingkat peternak ambruk sehingga peternak merugi. Tak heran apabila peternak resah dengan pelonggaran impor daging ayam itu. Perhimpunan Insan Perunggasan Rakyat Indonesia (Pinsar) menilai masuknya impor ayam berpotensi membuat penyerapan daging di peternak lokal terganggu. Namun, Dosen Universitas Indonesia Fithra Faisal Hastiadi mengatakan bahwa Indonesia terpaksa untuk meratifikasi ketentuan importasi daging ayam lantaran sudah kalah dalam Sidang Badan Penyelesaian Sengketa Organisasi Perdagangan Dunia (DSB WTO). Belum lagi, jika negara-negara lain melakukan retaliasi dengan cara menyulitkan ekspor asal Indonesia masuk ke negara-negara bersangkutan. Tentu ini akan memengaruhi kinerja neraca perdagangan Indonesia yang kondisinya saat ini masih defisit.

Berdasarkan paragraf diatas, manakah di bawah ini pernyataan yang BENAR?","(A) Terdapat beberapa negara yang melakukan retaliasi dengan cara menyulitkan ekspor asal Indonesia masuk ke negara-negara bersangkutan 
(B) Peternak ayam merugi karena harga ayam di pasaran ambruk yang disebabkan oleh kekalahan Indonesia terhadap Brasil
(C) Kinerja neraca perdagangan ditentukan oleh retaliasi terhadap ekspor yang menyulitkan ekspor asal Indonesia ke beberapa negara
(D) Retaliasi yang dilakukan oleh beberapa negara terhadap Indonesia memengaruhi kinerja neraca perdagangan Indonesia
(E) Para peternak ayam mandiri mengalami kerugian",(E) Para peternak ayam mandiri mengalami kerugian,Analisis Argumen,986,316,sulit
